Name,Lat,Long,REZ
IY223,-37.34,140.80,S1
IM220,-36.07,140.29,S1
IL218,-35.97,140.02,S1
II217,-35.66,139.86,S1
IK219,-35.86,140.14,S1
II218,-35.65,139.99,S1
IJ217,-35.76,139.87,S1
IE214,-35.24,139.43,S1
IE215,-35.24,139.56,S1
IG217,-35.44,139.84,S1
HW222,-34.33,140.42,S2
HS218,-33.93,139.86,S2
HV219,-34.24,140.02,S2
HT216,-34.05,139.61,S2
HU219,-34.14,140.01,S2
HU222,-34.11,140.40,S2
HT222,-34.01,140.39,S2
HT220,-34.02,140.13,S2
HV223,-34.22,140.54,S2
HV221,-34.23,140.28,S2
HU209,-34.20,138.70,S3
HI205,-32.93,138.11,S3
HR210,-33.87,138.81,S3
HQ209,-33.77,138.68,S3
HP207,-33.67,138.41,S3
HP211,-33.65,138.93,S3
HS213,-33.96,139.21,S3
HM212,-33.32,139.04,S3
HL212,-33.21,139.03,S3
HN213,-33.42,139.17,S3
ID195,-35.24,136.92,S4
IA200,-34.89,137.56,S4
HY201,-34.67,137.68,S4
HV201,-34.35,137.66,S4
HU201,-34.24,137.66,S4
HT202,-34.13,137.78,S4
HX200,-34.57,137.54,S4
HW200,-34.46,137.54,S4
HS204,-34.01,138.04,S4
HS201,-34.02,137.65,S4
HE204,-32.51,137.95,S5
HH200,-32.85,137.45,S5
HG197,-32.75,137.06,S5
HD197,-32.43,137.05,S5
HF203,-32.62,137.83,S5
HD201,-32.41,137.56,S5
HE197,-32.54,137.05,S5
HB201,-32.20,137.55,S5
HC198,-32.32,137.17,S5
HB197,-32.22,137.04,S5
GG192,-29.99,136.30,S6
GR196,-31.15,136.86,S6
GL187,-30.54,135.69,S6
GP198,-30.93,137.10,S6
GO197,-30.82,136.97,S6
GJ189,-30.32,135.94,S6
GN195,-30.73,136.71,S6
GL199,-30.50,137.21,S6
GJ198,-30.29,137.07,S6
GH197,-30.08,136.94,S6
HV189,-34.40,136.09,S7
HO194,-33.62,136.71,S7
HT187,-34.19,135.82,S7
HQ187,-33.86,135.81,S7
HR190,-33.96,136.21,S7
HM190,-33.42,136.18,S7
HN196,-33.51,136.97,S7
HM196,-33.40,136.96,S7
HL189,-33.32,136.05,S7
HK190,-33.21,136.18,S7
HO183,-33.66,135.28,S8
HQ184,-33.87,135.42,S8
HM183,-33.45,135.28,S8
HJ177,-33.14,134.49,S8
HK180,-33.24,134.88,S8
HG178,-32.81,134.61,S8
HI176,-33.03,134.36,S8
HF176,-32.71,134.35,S8
HL182,-33.34,135.14,S8
HD178,-32.49,134.60,S8
