country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units
Australia,BOM,WA,9,-32.34,116.18,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar
Temperature,DNI,GHI,DHI,Wind Direction,Wind Speed,,,,,,,,,,,
13,0,0,0,161.55359541043,15.7200061663812,,,,,,,,,,,
13.1,0,0,0,162.427942529696,14.1631174453163,,,,,,,,,,,
13.2,0,0,0,156.764799975355,10.5334011111996,,,,,,,,,,,
13.4,0,0,0,157.228116871107,9.51113842412075,,,,,,,,,,,
13.6,0,6,6,164.361494044208,10.8434343926233,,,,,,,,,,,
13.8,0,29,29,172.846221504166,10.9802515964889,,,,,,,,,,,
14.2,0,78,78,177.759190417812,9.18229252323599,,,,,,,,,,,
14.8,0,52,52,169.622524748471,5.94090343403795,,,,,,,,,,,
15.4,0,95,95,169.583373596778,5.01246059224765,,,,,,,,,,,
15.9,0,179,179,100.562095282978,2.65706109556914,,,,,,,,,,,
16.4,7,412,405,69.8420229134378,1.45091645585001,,,,,,,,,,,
16.9,374,779,426,20.7006451550775,2.79231368607103,,,,,,,,,,,
17.1,805,961,228,18.7055995465205,5.76567524834143,,,,,,,,,,,
17.2,739,864,236,22.8430558642235,7.66105381062216,,,,,,,,,,,
17.2,850,761,155,18.7842636349922,8.49998055047634,,,,,,,,,,,
16.9,935,618,74,16.8532723669113,8.14717046888699,,,,,,,,,,,
16.3,835,414,65,13.6659909558574,8.41035340271003,,,,,,,,,,,
15.6,386,192,75,19.72689135753,8.40241330801673,,,,,,,,,,,
14.7,57,40,30,27.8105243347732,7.98219090580686,,,,,,,,,,,
13.5,0,0,0,35.0887802130992,7.54312196821088,,,,,,,,,,,
12.3,0,0,0,44.2275650137124,7.91578187604162,,,,,,,,,,,
11.6,0,0,0,49.0696351509864,7.03976693883474,,,,,,,,,,,
11.3,0,0,0,46.834262921646,7.03802350846696,,,,,,,,,,,
11,0,0,0,47.1725961924449,8.51565254099642,,,,,,,,,,,
10.9,0,0,0,52.9934050311221,8.37151634869679,,,,,,,,,,,
11,0,0,0,57.0819015369659,7.89208868114932,,,,,,,,,,,
11.1,0,0,0,63.2393704237127,7.39065732088669,,,,,,,,,,,
11.8,0,1,1,64.7318648411723,6.03893053791519,,,,,,,,,,,
12.9,0,36,36,62.2074009272391,6.04661420203032,,,,,,,,,,,
14.1,0,84,84,53.3157094522673,5.4555239553064,,,,,,,,,,,
15.5,0,147,147,50.5253294328368,4.71295640458217,,,,,,,,,,,
17.1,4,329,326,35.4209651895286,5.22088241476514,,,,,,,,,,,
18.7,183,579,431,32.877245601392,4.47061285017008,,,,,,,,,,,
19.5,245,703,492,26.565051177078,5.33963629056923,,,,,,,,,,,
19.8,81,512,440,19.1712499863141,6.47091053038635,,,,,,,,,,,
19.9,0,487,487,18.5201771791751,8.26410904531989,,,,,,,,,,,
20.1,1,575,574,18.8044277962277,9.3069761557156,,,,,,,,,,,
20.1,54,589,545,25.7432953715172,9.2690454871904,,,,,,,,,,,
20.2,34,501,474,29.9896104562018,10.7793015832914,,,,,,,,,,,
20,98,407,355,31.5026693156291,11.2431952708818,,,,,,,,,,,
19.6,57,239,210,30.9905895353296,11.1672758465157,,,,,,,,,,,
19.2,122,122,102,36.8036263648053,10.4111331317325,,,,,,,,,,,
19.1,68,37,25,45.67292312873,9.08630117578085,,,,,,,,,,,
19.2,0,0,0,49.270277137931,8.92451053625788,,,,,,,,,,,
19.4,0,0,0,54.5497860342741,9.40791498109962,,,,,,,,,,,
19.5,0,0,0,70.5315820002899,9.20704017845205,,,,,,,,,,,
19.7,0,0,0,75.1355402773565,9.96217949703314,,,,,,,,,,,
19.8,0,0,0,81.3887718947082,9.49883684169151,,,,,,,,,,,
20,0,0,0,105.822156236694,9.15239084660479,,,,,,,,,,,
20.3,0,0,0,117.49351825077,10.2231612929078,,,,,,,,,,,
20.5,0,0,0,119.59759638977,11.4752197638812,,,,,,,,,,,
20.6,0,0,0,123.75323212769,10.7356754095893,,,,,,,,,,,
20.6,0,17,17,130.214164109236,10.4132894296099,,,,,,,,,,,
20.5,3,140,138,139.886049956895,10.4088843796299,,,,,,,,,,,
21.7,166,337,250,147.434100107006,9.97720025002637,,,,,,,,,,,
23.6,585,586,203,155.81314795629,10.1200821531009,,,,,,,,,,,
25.6,820,787,162,154.353514524608,6.61258723301073,,,,,,,,,,,
26.3,312,692,440,144.156132809438,5.05675377434399,,,,,,,,,,,
26,302,782,496,141.084924576003,4.51491806741312,,,,,,,,,,,
25.5,709,961,291,131.71828589503,4.15189823242485,,,,,,,,,,,
25.2,837,969,202,116.883139373848,4.17530689527137,,,,,,,,,,,
24.9,696,839,248,111.067819519613,4.24487217865347,,,,,,,,,,,
24.7,224,353,171,106.64720783297,4.01746884004016,,,,,,,,,,,
23.9,0,50,50,86.0241546892605,3.23186200946004,,,,,,,,,,,
22.8,0,10,10,77.8002207020911,3.42646496958196,,,,,,,,,,,
21.6,0,14,14,63.3879746554459,4.57030296368296,,,,,,,,,,,
20.6,0,6,6,57.506944137962,8.71305585412846,,,,,,,,,,,
19.7,0,0,0,67.7939958480063,9.41803073316897,,,,,,,,,,,
18.8,0,0,0,78.3523482782053,8.89815897908735,,,,,,,,,,,
18.1,0,0,0,96.1747441531854,7.66028245017072,,,,,,,,,,,
17.6,0,0,0,99.3836487634501,8.19964690207791,,,,,,,,,,,
17,0,0,0,121.013217260458,10.9173315152988,,,,,,,,,,,
16.4,0,0,0,135.190376981693,14.7625182654951,,,,,,,,,,,
15.7,0,0,0,147.29523555314,15.5144149652435,,,,,,,,,,,
15.1,0,0,0,154.353883747406,14.6869539831303,,,,,,,,,,,
14.7,0,0,0,157.44232248355,13.188881227826,,,,,,,,,,,
14.5,10,27,23,163.288963359917,12.7391999546466,,,,,,,,,,,
14.3,510,226,51,165.310733164604,12.0831638835333,,,,,,,,,,,
14.9,812,456,84,169.840325797224,10.8716544492959,,,,,,,,,,,
16.1,932,663,79,170.493411801663,10.6971794788924,,,,,,,,,,,
17.4,1020,845,70,158.667597886597,7.97226600753946,,,,,,,,,,,
17.9,1049,978,71,148.96560243002,5.93578691871544,,,,,,,,,,,
17.9,1064,1058,72,131.415871559694,3.94854807255472,,,,,,,,,,,
17.9,1067,1080,72,96.6331296717573,3.35860821947184,,,,,,,,,,,
18,1061,1043,72,70.4003461683793,3.6877545285473,,,,,,,,,,,
18.1,1045,949,70,59.8353534954844,4.45194403134572,,,,,,,,,,,
18.2,1017,806,66,57.095103667451,6.37119260272376,,,,,,,,,,,
18,968,625,60,43.9264272946883,6.98983095185551,,,,,,,,,,,
17.4,881,420,53,44.7298424897805,7.08623373027997,,,,,,,,,,,
16.9,706,214,40,48.9714903245526,7.43924738364281,,,,,,,,,,,
15.8,227,51,12,56.6374419277514,7.76698330593699,,,,,,,,,,,
14.5,0,0,0,61.9971419305624,8.74829837687162,,,,,,,,,,,
13,0,0,0,75.5404778124048,8.95593807709628,,,,,,,,,,,
12.5,0,0,0,87.2490618398582,10.6715923257348,,,,,,,,,,,
12.7,0,0,0,114.209277342086,13.1186626867395,,,,,,,,,,,
12.9,0,0,0,123.079449099638,13.6462960902311,,,,,,,,,,,
12.9,0,0,0,131.768537435509,14.7524813531562,,,,,,,,,,,
12.7,0,0,0,139.703404137905,15.8733119022211,,,,,,,,,,,
12.5,0,0,0,146.912432432421,17.0680785238141,,,,,,,,,,,
12.6,0,1,1,152.143139980153,15.7996206692228,,,,,,,,,,,
13,0,37,37,157.698024260824,15.5355507421413,,,,,,,,,,,
13.4,0,99,99,160.068660338725,15.284365707184,,,,,,,,,,,
14.4,3,123,122,167.196853798689,15.6942738680559,,,,,,,,,,,
15.8,137,387,295,172.938250403966,12.5855316523342,,,,,,,,,,,
17.3,241,619,435,179.489502113915,11.1208619744693,,,,,,,,,,,
18.1,93,615,541,176.790376115566,8.69885553147181,,,,,,,,,,,
18.4,0,435,435,179.006915832313,7.21220948139793,,,,,,,,,,,
18.7,0,469,469,177.510447078001,5.75543221661067,,,,,,,,,,,
18.9,0,434,434,182.935673446421,4.88140604744166,,,,,,,,,,,
19.1,3,398,396,189.462322208026,4.56207189772367,,,,,,,,,,,
19.2,149,494,394,193.27739211336,3.86630596308462,,,,,,,,,,,
19,509,514,235,190.292820631465,3.57041508175396,,,,,,,,,,,
18.4,722,390,96,191.105657909043,3.31202209209517,,,,,,,,,,,
17.9,609,203,50,193.720161046463,3.21678874416215,,,,,,,,,,,
16.9,190,47,15,198.70620149279,4.32769197255094,,,,,,,,,,,
15.6,0,0,0,196.645693082612,7.41833201007094,,,,,,,,,,,
14.2,0,0,0,198.504373312693,7.95872281732622,,,,,,,,,,,
13.5,0,0,0,183.918490162257,8.26474123081956,,,,,,,,,,,
13.2,0,0,0,178.408212659714,8.83495607350878,,,,,,,,,,,
13,0,0,0,178.882301927218,9.26014038742734,,,,,,,,,,,
12.8,0,0,0,180.669730530035,12.1944218510948,,,,,,,,,,,
12.6,0,0,0,186.237204682448,16.1075240281972,,,,,,,,,,,
12.5,0,0,0,198.864711972267,17.6089646655566,,,,,,,,,,,
12.9,4,1,1,204.705928789077,16.2118345312328,,,,,,,,,,,
13.8,231,73,36,204.786209064128,16.6680889221771,,,,,,,,,,,
14.8,587,241,65,212.341155579776,16.9619399629111,,,,,,,,,,,
16.2,791,445,84,218.906103922749,16.8702382843299,,,,,,,,,,,
17.9,636,584,205,224.852897785223,16.153005589731,,,,,,,,,,,
19.6,202,567,429,224.127176357142,14.7161965102717,,,,,,,,,,,
20.5,638,825,255,213.59791249644,8.92001578494572,,,,,,,,,,,
20.6,995,1026,106,213.746315455387,7.54214815102703,,,,,,,,,,,
20.7,1000,1049,106,231.608022783028,5.93395259519416,,,,,,,,,,,
20.7,994,1013,103,262.716796116041,4.8278264324368,,,,,,,,,,,
20.8,975,920,98,284.573128437224,5.46468767782115,,,,,,,,,,,
20.8,939,777,93,310.509075743333,4.98337297318301,,,,,,,,,,,
20.4,878,598,85,333.485026685535,4.28704758775741,,,,,,,,,,,
19.8,776,398,73,8.52203495148859,4.71131224697142,,,,,,,,,,,
19,583,199,52,29.4883603521331,7.0312831089425,,,,,,,,,,,
18.2,180,46,16,40.1932138200912,7.1263057392962,,,,,,,,,,,
17.3,0,0,0,54.6346140036439,7.48381453905331,,,,,,,,,,,
16.5,0,0,0,46.2849863711598,7.18551296915525,,,,,,,,,,,
16,0,0,0,49.8134985499942,6.67962044749532,,,,,,,,,,,
15.9,0,0,0,49.1926261061624,4.57771842975959,,,,,,,,,,,
15.9,0,0,0,36.5640276160093,3.97139303675561,,,,,,,,,,,
15.9,0,0,0,28.9719031571873,4.16357867998391,,,,,,,,,,,
15.9,0,0,0,15.2216239394447,4.02063342140549,,,,,,,,,,,
15.9,0,0,0,12.6667152095987,4.87318249724745,,,,,,,,,,,
16.2,0,1,1,52.4564940345833,4.43536072634448,,,,,,,,,,,
16.5,0,35,35,44.1232524794546,5.00207083423925,,,,,,,,,,,
16.9,0,105,105,34.517077986811,6.28288822722438,,,,,,,,,,,
17.8,0,100,100,31.8599213422905,7.8306768544343,,,,,,,,,,,
19.2,0,130,130,36.0095881999206,8.70158463503583,,,,,,,,,,,
20.6,0,226,226,41.3296313814008,7.19847103719868,,,,,,,,,,,
21.5,12,401,389,14.8323333878179,6.53245720156605,,,,,,,,,,,
22,616,828,248,10.7782893716202,6.47629567837805,,,,,,,,,,,
22.3,952,1026,128,7.89016143194851,7.0014930640577,,,,,,,,,,,
22.6,939,988,128,6.80794246320158,8.21723340381571,,,,,,,,,,,
22.7,913,895,126,13.29476140779,9.12801006388505,,,,,,,,,,,
22.8,846,749,131,25.6713738968609,10.0093207274165,,,,,,,,,,,
22.5,799,576,111,17.9534303671738,8.43190824250493,,,,,,,,,,,
21.9,642,376,101,24.1097360485414,7.82932976656213,,,,,,,,,,,
21.2,358,178,81,32.2774866399995,7.41755898810632,,,,,,,,,,,
20.4,88,40,25,36.7588855625042,7.08004039075681,,,,,,,,,,,
19.7,0,0,0,44.8776953426337,7.06784576026309,,,,,,,,,,,
18.9,0,0,0,58.8024500242952,7.01437376694265,,,,,,,,,,,
18.6,0,0,0,62.8535244550475,6.04553777031509,,,,,,,,,,,
18.6,0,0,0,67.9165136275371,8.27557398785197,,,,,,,,,,,
18.7,0,0,0,64.627881427803,9.95570929561153,,,,,,,,,,,
19,0,0,0,77.8744804016844,9.68090847009339,,,,,,,,,,,
19.4,0,0,0,102.58837395741,9.15918698192341,,,,,,,,,,,
19.9,0,0,0,120.033627958156,9.02590084134395,,,,,,,,,,,
20.3,0,0,0,137.696763633689,7.33139951207383,,,,,,,,,,,
20.6,0,4,4,137.580169115094,7.31505720554474,,,,,,,,,,,
20.9,0,11,11,133.383937716065,7.03287276933824,,,,,,,,,,,
20.6,0,14,14,132.265044683093,6.91291063331639,,,,,,,,,,,
19.9,0,18,18,134.351491824255,6.81115992647417,,,,,,,,,,,
19,0,41,41,132.621074390647,4.7916357053562,,,,,,,,,,,
18.6,0,37,37,114.765133551178,2.76747558503384,,,,,,,,,,,
18.5,0,30,30,79.3851464605193,2.78469478899937,,,,,,,,,,,
18.5,0,30,30,62.237319486478,2.95184496568461,,,,,,,,,,,
18.3,0,48,48,48.831676171062,3.96802015427713,,,,,,,,,,,
17.9,0,70,70,40.6570681211115,5.35208088598821,,,,,,,,,,,
17.6,0,81,81,38.9337954721347,6.92064279611604,,,,,,,,,,,
17.3,0,41,41,39.3322338806211,6.60319312422563,,,,,,,,,,,
17,0,51,51,41.5762365106245,6.32620097892671,,,,,,,,,,,
16.6,0,42,42,47.2397256675757,6.39902379135049,,,,,,,,,,,
16.2,0,10,10,51.9614207031308,7.09262866755532,,,,,,,,,,,
15.6,0,0,0,59.3801326318757,7.05718329728244,,,,,,,,,,,
14.9,0,0,0,67.0871118950008,8.0481063215327,,,,,,,,,,,
14.5,0,0,0,69.4423022866742,9.50056080056765,,,,,,,,,,,
14.3,0,0,0,70.6855741400101,10.5681006896455,,,,,,,,,,,
14.1,0,0,0,76.4846965539711,11.0820240882589,,,,,,,,,,,
13.7,0,0,0,96.7057522265451,10.4502902136802,,,,,,,,,,,
