country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
Australia,Solcast https://solcast.com,Burnie,9,-40.886005,145.252991,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
Year,Month,Day,Hour,Minute,Temperature,,,,DHI,DNI,,GHI,,,Wind Direction,Wind Speed,,,
2015,1,1,0,0,13,,,,0,0,,0,,,59.5,2.911,,,
2015,1,1,1,0,13.1,,,,0,0,,0,,,68.1,5.891,,,
2015,1,1,2,0,13.2,,,,0,0,,0,,,245.4,5.65,,,
2015,1,1,3,0,13.4,,,,0,0,,0,,,215.1,6.266,,,
2015,1,1,4,0,13.6,,,,6,0,,6,,,191,5.829,,,
2015,1,1,5,0,13.8,,,,29,0,,29,,,179.3,6.082,,,
2015,1,1,6,0,14.2,,,,78,0,,78,,,159.8,4.906,,,
2015,1,1,7,0,14.8,,,,52,0,,52,,,138.1,2.605,,,
2015,1,1,8,0,15.4,,,,95,0,,95,,,28.5,0.673,,,
2015,1,1,9,0,15.9,,,,179,0,,179,,,263.1,7.13,,,
2015,1,1,10,0,16.4,,,,405,7,,412,,,258.3,7.956,,,
2015,1,1,11,0,16.9,,,,426,374,,779,,,235.9,9.601,,,
2015,1,1,12,0,17.1,,,,228,805,,961,,,243.1,7.995,,,
2015,1,1,13,0,17.2,,,,236,739,,864,,,234.4,8.795,,,
2015,1,1,14,0,17.2,,,,155,850,,761,,,232.8,8.276,,,
2015,1,1,15,0,16.9,,,,74,935,,618,,,227,7.854,,,
2015,1,1,16,0,16.3,,,,65,835,,414,,,217,7.448,,,
2015,1,1,17,0,15.6,,,,75,386,,192,,,220.5,6.781,,,
2015,1,1,18,0,14.7,,,,30,57,,40,,,221.9,7.008,,,
2015,1,1,19,0,13.5,,,,0,0,,0,,,210.6,6.382,,,
2015,1,1,20,0,12.3,,,,0,0,,0,,,198.9,5.645,,,
2015,1,1,21,0,11.6,,,,0,0,,0,,,202.4,4.346,,,
2015,1,1,22,0,11.3,,,,0,0,,0,,,198.5,3.113,,,
2015,1,1,23,0,11,,,,0,0,,0,,,181.4,1.659,,,
2015,1,2,0,0,10.9,,,,0,0,,0,,,139.9,1.113,,,
2015,1,2,1,0,11,,,,0,0,,0,,,93.8,1.953,,,
2015,1,2,2,0,11.1,,,,0,0,,0,,,85.9,5.883,,,
2015,1,2,3,0,11.8,,,,1,0,,1,,,95.5,11.015,,,
2015,1,2,4,0,12.9,,,,36,0,,36,,,89.6,12.373,,,
2015,1,2,5,0,14.1,,,,84,0,,84,,,78.4,10.689,,,
2015,1,2,6,0,15.5,,,,147,0,,147,,,74,9.673,,,
2015,1,2,7,0,17.1,,,,326,4,,329,,,84,10.354,,,
2015,1,2,8,0,18.7,,,,431,183,,579,,,85.9,11.912,,,
2015,1,2,9,0,19.5,,,,492,245,,703,,,83.1,12.717,,,
2015,1,2,10,0,19.8,,,,440,81,,512,,,83.5,13.212,,,
2015,1,2,11,0,19.9,,,,487,0,,487,,,83.1,13.348,,,
2015,1,2,12,0,20.1,,,,574,1,,575,,,81.7,13.199,,,
2015,1,2,13,0,20.1,,,,545,54,,589,,,82.7,13.146,,,
2015,1,2,14,0,20.2,,,,474,34,,501,,,82.4,13.297,,,
2015,1,2,15,0,20,,,,355,98,,407,,,84.4,13.428,,,
2015,1,2,16,0,19.6,,,,210,57,,239,,,88.9,13.696,,,
2015,1,2,17,0,19.2,,,,102,122,,122,,,89.4,14.716,,,
2015,1,2,18,0,19.1,,,,25,68,,37,,,93.4,16.259,,,
2015,1,2,19,0,19.2,,,,0,0,,0,,,95,16.49,,,
2015,1,2,20,0,19.4,,,,0,0,,0,,,96.6,16.019,,,
2015,1,2,21,0,19.5,,,,0,0,,0,,,97.6,15.928,,,
2015,1,2,22,0,19.7,,,,0,0,,0,,,101.2,15.51,,,
2015,1,2,23,0,19.8,,,,0,0,,0,,,104.1,14.3,,,
2015,1,3,0,0,20,,,,0,0,,0,,,93.5,15.44,,,
2015,1,3,1,0,20.3,,,,0,0,,0,,,91,13.532,,,
2015,1,3,2,0,20.5,,,,0,0,,0,,,82.7,11.286,,,
2015,1,3,3,0,20.6,,,,0,0,,0,,,70.4,10.077,,,
2015,1,3,4,0,20.6,,,,17,0,,17,,,64.2,9.151,,,
2015,1,3,5,0,20.5,,,,138,3,,140,,,58,8.188,,,
2015,1,3,6,0,21.7,,,,250,166,,337,,,41.8,6.18,,,
2015,1,3,7,0,23.6,,,,203,585,,586,,,333.7,9.46,,,
2015,1,3,8,0,25.6,,,,162,820,,787,,,324,10.655,,,
2015,1,3,9,0,26.3,,,,440,312,,692,,,311.4,9.634,,,
2015,1,3,10,0,26,,,,496,302,,782,,,303.5,7.559,,,
